"chapter_A looming disaster_event_0_title","Подкравшись ближе слова начали обретать форму в ваших ушах"
"chapter_A looming disaster_event_1_title","Благородные семьи, они близки к войне друг с другом"
"chapter_A looming disaster_event_2_title","Ваша матушка была обеспокоена не меньше, она отвечала тихим бормотанием, ее слова было сложно различить"
"chapter_A looming disaster_event_3_title","Но что привело к такому хаосу?"
"chapter_A looming disaster_event_4_title","Король тяжело болен. Все маневрируют, стремясь пропихнуть своего кандидата на роль наследника"
"chapter_A looming disaster_event_5_title","А принцессу, единственного ребенка короля, они увезли далеко от столицы, полагаю, чтобы обеспечить ее безопасность"
"chapter_Birth_event_0_title","Когда вы впервые открываете глаза, мир вокруг вас представляет собой размытое пятно теней и света"
"chapter_Birth_event_1_title","Вы чувствуете грубую текстуру набитого соломой матраса под собой и тепло маминых рук, которые она нежно прижимает к вам"
"chapter_Birth_event_2_title","В эти первые мгновения жизни вы становитесь новым членом мира, который одновременно суров и прекрасен, полон вызовов и возможностей"
"chapter_First adventure_event_0_title","Взросление открыло для вас новые горизонты, вы научились ходить и говорить. В этот обычный день, похожий на многие предыдущие, вам становится скучно, чем займетесь?"
"chapter_First adventure_event_1_title","Найдя брата, на его лице расплывется знакомая ухмылка, приглашающая вас на очередной раунд игры в рыцарей и драконов"
"chapter_First adventure_event_2_title","Увидев вас, глаза сестры загораются, она затаскивает вас в комнату и уже готовит десятки нарядов, в которые собирается вас одеть"
"chapter_First adventure_event_3_title","Через какое-то время голос вашего отца разносится по коридорам, зовя вас в главную комнату"
"chapter_First adventure_event_4_title","Ваша матушка и отец увидев вас заулыбались, отец недолго думая заговорил"
"chapter_First adventure_event_5_title","Предпочитаешь ли ты сосредоточиться на изучении искусства меча, как подобает дворянину нашего уровня, или же ты предпочитаешь, чтобы учителя обучали тебя дома?"
"chapter_First adventure_event_6_title","Дослушав отца, ваша матушка осторожно вмешивается, ее вера в силу знаний сияет"
"chapter_First adventure_event_7_title","Образование не менее важно, мой дорогой"
"chapter_First adventure_event_8_title","Теперь вам предстоит принять решение, стать на перепутье между мечом и пером, между ожиданиями отца и надеждами матери, на что упадет ваш взор?"
"chapter_First adventure_event_9_title","Ваш отец начнет обучать вас искусству фехтования. Двор станет вашим новым классом"
"chapter_First adventure_event_10_title","Обрадованная матушка организует приезд лучших наставников к вам домой"
"chapter_First adventure_event_11_title","Дни сливаются друг с другом, каждый день вы с отцом занимаетесь фехтованием. Со временем вам становится скучно"
"chapter_First adventure_event_12_title","Дни сливаются друг с другом, каждый день вы учите много нового, учителя не оставляют вас и на минуту. Со временем вам становится скучно"
"chapter_First adventure_event_13_title","Обычно вы гуляеете во дворе дома, играя с братом или убегая от сестры во время ее очередного модного вдохновения"
"chapter_First adventure_event_14_title","Как только ваша нога переступает границу вашего дома, вас окружает яркая симфония деревенской жизни"
"chapter_First adventure_event_15_title","Эта деревня, находящаяся под покровительством вашего отца, являет собой картину ухоженного спокойствия и красоты сельской жизни"
"chapter_First adventure_event_16_title","После длительной прогулки, вы выходите к развилке. Одна из дорог ведет прямо, другая же  - налево. Впереди виднеется башня"
"chapter_First adventure_event_17_title","Приближаясь к башне, вы чувствуете, как усиливается ветер, заставляя трепетать флаги, которыми украшена башня"
"chapter_First adventure_event_18_title","У основания башни вы замечаете грозную дверь, которую охраняют два стражника"
"chapter_First adventure_event_19_title","Добрый день, молодой господин"
"chapter_First adventure_event_20_title","Это наша сторожевая башня, юный господин. Она возвышается, чтобы следить за всем, что происходит вокруг"
"chapter_First adventure_event_21_title","За этой дверью - сеть подземных туннелей, протянувшихся под всей деревней"
"chapter_First adventure_event_22_title","Они предназначены для экстренного бегства, внезапного нападения или просто для незаметного передвижения"
"chapter_First adventure_event_23_title","Гениально, не находите?"
"chapter_First adventure_event_24_title","Удаляясь от башни и шумной деревни, вы обнаруживаете, что вас тянет в чарующую тишину леса"
"chapter_First adventure_event_25_title","Вы приходите в сердце деревни, на рынок, кипящий жизнью и активностью"
"chapter_First adventure_event_26_title","Вдруг ваше внимание привлекает другая суматоха. Молодой парень, не намного старше вас, хватает кусок хлеба с прилавка и убегает"
"chapter_First adventure_event_27_title","Mальчик оказывается проворным и исчезает в ближайшем лесу прежде, чем кто-либо успевает его остановить"
"chapter_First adventure_event_28_title","Удаляясь от рынка вы обнаруживаете, что любопытство затянуло вас в густой лес"
"chapter_First adventure_event_29_title","Обследуя лес вы натыкаетесь на мальчика в кустах, он явно был чем-то напуган"
"chapter_First adventure_event_30_title","Ты не видел злого человека, преследующего меня?"
"chapter_First adventure_event_31_title","Так ты все видел? Черт, да, о нем, ты видел его?"
"chapter_First adventure_event_32_title","Сквозь гущу деревьев появляются несколько фигур, они осматривают каждый угол"
"chapter_First adventure_event_33_title","Пожалуйста, не говори им, что я здесь"
"chapter_First adventure_event_34_title","Мгновение спустя мужчины подходят к вам, выражение их лиц суровое и недоверчивое"
"chapter_First adventure_event_35_title","Ты тут не видел маленькую крысу, ворующую на рынке?"
"chapter_First adventure_event_36_title","Мерзавец!"
"chapter_First adventure_event_37_title","Лови его!"
"chapter_First adventure_event_38_title","Так ты с ним за одно? Мужики, ловите их!"
"chapter_First adventure_event_39_title","Ну и вляпались"
"chapter_First adventure_event_40_title","Не успели вы что-нибудь придумать, как на вас уже бежит один из мужчин, намерения у него явно не из добрых"
"chapter_First adventure_event_41_title","Следом на вас бросается другой мужчина, его мозолистые кулаки размахиваются без устали"
"chapter_First adventure_event_42_title","Третий мужчина пытается схватить вас сзади"
"chapter_First adventure_event_43_title","Ударом вас отталкивает к дереву, мужчина собирается нанести еще один удар"
"chapter_First adventure_event_44_title","От столь сильного удара вы упали на землю, мужчина злобно зашагал к вам"
"chapter_First adventure_event_45_title","Отступая вы понимаете, что окружены, за вами образуется фигура еще одного мужчины"
"chapter_First adventure_event_46_title","Несмотря на все ваши усилия, противников меньше не становится"
"chapter_First adventure_event_47_title","Бежим, быстрее!"
"chapter_First adventure_event_48_title","Отбежав довольно таки далеко и скрывшись от преследователей вы наконец-то остановились"
"chapter_First adventure_event_49_title","Что, нравится?"
"chapter_First adventure_event_50_title","Это наше убежище, пошли внутрь познакомлю тебя с нашим старшим"
"chapter_First adventure_event_51_title","Проводя взглядом мальчика вы решили напрвиться домой"
"chapter_Meeting the family_event_0_title","Однажды оживленные звуки средневекового города будят вас. Когда вы просыпаетесь, шумная активность за окном пробуждает ваше любопытство"
"chapter_Meeting the family_event_1_title","Этот звук привлекает внимание вашей сестры и она вбегает в комнату"
"chapter_Meeting the family_event_2_title","Когда ваше первое различимое слово наполняет воздух, в комнату вбегает ваша сестра, ее лицо светится от восторга"
"chapter_Meeting the family_event_3_title","Ох, малыш, хвала небесам, ты в порядке!"
"chapter_Meeting the family_event_4_title","Ты храбрая маленькая душа, ты пытаешься ходить. Не волнуйся, все мы спотыкаемся, прежде чем научиться ходить"
"chapter_Meeting the family_event_5_title","Неужели ты только что...?"
"chapter_Meeting the family_event_6_title","Ты сказал! Ты сказал слово! Какой ты умный малыш!"
"chapter_Meeting the family_event_7_title","Пойдем посмотрим что делают остальные, хорошо?"
"chapter_Meeting the family_event_8_title","Ваша сестра, с ее безграничной добротой и любовью с самого вашего рождения была маяком тепла и доброты"
"chapter_Meeting the family_event_9_title","Она особенно любила наряжать вас в различные наряды, каждый из которых был более красочным и замысловатым, чем предыдущий"
"chapter_Meeting the family_event_10_title","Как только вы с сестрой выходите в холл, появляется ваш брат"
"chapter_Meeting the family_event_11_title","Так-так, маленький принц наконец-то проснулся. Я уже начал думать, что ты проспишь весь день"
"chapter_Meeting the family_event_12_title","И мы бы не хотели лишать тебя зрителей, не так ли?"
"chapter_Meeting the family_event_13_title","Это правда, дорогая сестра. Как бы еще наш младший брат научился быть таким же очаровательным, как я?"
"chapter_Meeting the family_event_14_title","В вашей семье процветает игривая атмосфера, особенно между братом и сестрой"
"chapter_Meeting the family_event_15_title","Ваша сестра с удовольствием подтрунивает над самовлюбленностью вашего брата, подшучивая над его любовью к собственному отражению"
"chapter_Meeting the family_event_16_title","В ответ он игриво дергает ее за волосы, на его лице красуется шутливая ухмылка"
"chapter_Meeting the family_event_17_title","Несмотря на свою самовлюбленность, ваш брат дорожит моментами, проведенными вместе с вами"
"chapter_Meeting the family_event_18_title","Ваша сестра несет вас на шумную кухню, где ваша матушка усердно трудится в окружении слуг, готовящих еду"
"chapter_Meeting the family_event_19_title","Она подходит к вашей сестре, гладит и хвалит ее"
"chapter_Meeting the family_event_20_title","Спасибо, что заботишься о своем братике"
"chapter_Meeting the family_event_21_title","Он с самого утра, как только проснулся, жаждет исследовать все вокруг. Я думаю, у нас в руках маленький искатель приключений"
"chapter_Meeting the family_event_22_title","После рассказа сестры ваша мама обратила свой ласковый взгляд на вас. Ее глаза искрились материнской любовью и нежностью"
"chapter_Meeting the family_event_23_title","Какой ты смелый маленький искатель приключений"
"chapter_Meeting the family_event_24_title","Ваш отец - землевладелец с огромными владениями, он часто занят своей работой. Его присутствие дома - редкое, но заветное событие для семьи"
"chapter_Meeting the family_event_25_title","С наступлением темноты ваш отец наконец вернулся домой. Матушка развела камин"
"chapter_Meeting the family_event_26_title","Ваши брат и сестра уже спали. Однако заснуть вам так и не удавалось"
"chapter_Rough Morning_event_0_title","Вас пробуждает ото сна отдаленный стук и возня, эхом разносящиеся по поместью и вы стираете остатки сна с глаз"
"chapter_Rough Morning_event_1_title","Вы спускаетесь по парадной лестнице в главный зал, и ваши чувства охватывает аромат свежей поливы и цветов"
"chapter_Rough Morning_event_2_title","Ваш старший брат, Лейф, инструктирует нескольких слуг о том, как правильно расставить многочисленные артефакты и украшения по дому"
"chapter_Rough Morning_event_3_title","Ваша сестра, напротив, полностью поглощена наблюдением за кухней, ее руки порхают от одной задачи к другой. Кому вы поможете?"
"chapter_Rough Morning_event_4_title","Юный принц решил испачкать руки?"
"chapter_Rough Morning_event_5_title","Брат отправляет вас разбирать телегу. Сначала все казалось простым, пока вы не наткнулись на огромную бочку с медовухой"
"chapter_Rough Morning_event_6_title","Бочку сдвинуть никак не получается, нужно что-то придумать"
"chapter_Rough Morning_event_7_title","Вы вспоминате, что для создания рычага, вам необходима твердая палка, которая сможет выдержать вес бочки"
"chapter_Rough Morning_event_8_title","Вокруг разбросаны различные деревянные мечи и палочки, каждая из которых потрепана и изношена в результате бесчисленных тренировок"
"chapter_Rough Morning_event_9_title","В сарае вы находите только сено"
"chapter_Rough Morning_event_10_title","Зайдя в конюшню - вы замечаете одну из брошенных в углу палок, она большая и кажется, что очень крепкая"
"chapter_Rough Morning_event_11_title","Низкий, раскатистый гул наполняет воздух, когда бочка начинает катиться по импровизированному валу - тихое эхо победы над законами физики разносится по двору"
"chapter_Rough Morning_event_12_title","Когда тяжелая работа уже позади вы входите на кухню и встречаете любопытный взгляд брата"
"chapter_Rough Morning_event_13_title","Ты перенес ее сам?"
"chapter_Rough Morning_event_14_title","У тебя довольно умная голова на плечах, ты знаешь об этом?"
"chapter_Rough Morning_event_15_title","Спасибо за помощь, я ценю это"
"chapter_Rough Morning_event_16_title","Вы решительно подходите к бочке и кладете обе руки на ее край. Вы давите изо всех сил, и бочка сдвигается с места"
"chapter_Rough Morning_event_17_title","Бочка покатилась, однако вы не ожидали, как быстро она наберет обороты, она понеслась по коридору и вот-вот врежется в декоративную вазу"
"chapter_Rough Morning_event_18_title","Бочка летит прямо на вас, уклониться уже не получится"
"chapter_Rough Morning_event_19_title","Когда вы продолжали вести бочку по коридорам, казалось, что вселенная сговорилась сделать эту задачу как можно сложнее для вас"
"chapter_Rough Morning_event_20_title","Затем, когда вам наконец удалось освободить себя и бочку из угла, вы врезались в выставленный на обозрение доспех, отчего он сильно пошатнулся"
"chapter_Rough Morning_event_21_title","Бочка полетела в сторону лестницы, это катастрофа"
"chapter_Rough Morning_event_22_title","Когда вы наконец переступаете порог кухни бочка оказывается на своем месте, раздаются аплодисменты"
"chapter_Rough Morning_event_23_title","Ты точно знаешь, как устроить представление, не так ли?"
"chapter_Rough Morning_event_24_title","Но ты справился с работой, и это главное"
"chapter_Rough Morning_event_25_title","Увидев, что сестре сложно справляться со всеми обязаностяи - вы подошли к ней и предложили помощь"
"chapter_Rough Morning_event_26_title","Ты? На кухне?"
"chapter_Rough Morning_event_27_title","Думаю, пара лишних рук не помешает"
"chapter_Rough Morning_event_28_title","С большой ложкой в руках вы стояли перед бурлящим котлом, а ваша сестра перечисляла ингредиенты из длинного списка"
"chapter_Rough Morning_event_29_title","Сначала брось цельную луковицу, затем нарежь морковку и медленно добавь ее, в конце нужно будет добавить одну веточку розмарина"
"chapter_Rough Morning_event_30_title","Что там шло первым?"
"chapter_Rough Morning_event_31_title","Что нужно сделать с луковицей?"
"chapter_Rough Morning_event_32_title","Что теперь делать с нарезанным луком?"
"chapter_Rough Morning_event_33_title","Что сделать с морковью?"
"chapter_Rough Morning_event_34_title","Что теперь делать с нарезанной морковью?"
"chapter_Rough Morning_event_35_title","Что делать с томатом?"
"chapter_Rough Morning_event_36_title","Вы ошиблись с первым игнредиентом, видя, что вам трудно, сестра докидывает лук в суп, что дальше?"
"chapter_Rough Morning_event_37_title","Что сделать с морковью?"
"chapter_Rough Morning_event_38_title","Что теперь делать с нарезанной морковью?"
"chapter_Rough Morning_event_39_title","Что делать с томатом?"
"chapter_Rough Morning_event_40_title","Почти все трудности позади, остался розмарин, что это?"
"chapter_Rough Morning_event_41_title","Теперь нужно добавить второй ингредиент, что там было?"
"chapter_Rough Morning_event_42_title","Ты добавил розмарин?"
"chapter_Rough Morning_event_43_title","Вы закончили приготовление супа, ваша сестра тоже покончила со всем остальным. "
"chapter_Rough Morning_event_44_title","Интересный получится суп"
"chapter_Rough Morning_event_45_title","Я знаю, что ты старался, ты молодец"
"chapter_Rough Morning_event_46_title","Спасибо за помощь, мне очень с тобой повезло"
"chapter_Rough Morning_event_47_title","Теперь остался только розмарин, что это?"
"chapter_Rough Morning_event_48_title","Вы закончили с приготовлением супа, он получился таким, каким должен быть"
"chapter_Rough Morning_event_49_title","Ты огромный молодец, ты все сделал правильно"
"chapter_Rough Morning_event_50_title","Что сделать с морковью?"
"chapter_Rough Morning_event_51_title","Что теперь делать с нарезанной морковью?"
"chapter_Shelter of the scum_event_0_title","В самом сердце леса, спрятанный среди теней высоких деревьев стоял дом, который и был убежещем этих детей"
"chapter_Shelter of the scum_event_1_title","Как только вы входите внутрь, до вас доносятся множество шумов, все занимаются своими делами"
"chapter_Shelter of the scum_event_2_title","Когда вы подходите - он сужает глаза и подозрительно хмурится"
"chapter_Shelter of the scum_event_3_title","Кого это ты привел, Хьюго?"
"chapter_Shelter of the scum_event_4_title","Он встал на мою защиту. Дал отпор рыночным торговцам"
"chapter_Shelter of the scum_event_5_title","Когда вы садитесь, тишина в комнате становится еще глубже, широко раскрытыми глазами дети смотрят на вас с нескрываемым любопытством"
"chapter_Shelter of the scum_event_6_title","Ты ведь сын господина, не так ли?"
"chapter_Shelter of the scum_event_7_title","Старший внимательно рассматривает вас, обращая внимание на хорошо сшитую тунику, аккуратно уложенные волосы и следы благородного воспитания, заметные в каждой манере вашего поведения"
"chapter_Shelter of the scum_event_8_title","О, теперь вы это отрицаете, ваше высочество, не так ли?"
"chapter_Shelter of the scum_event_9_title","Но ты одеваешься как лордлинг. У тебя внешность лордлинга. И я видел тебя в городе, ты следовал за лордом и его старшими детьми. Ты - сын лорда"
"chapter_Shelter of the scum_event_10_title","Хьюго наблюдает за вами с болезненным выражением лица, разрываясь между своим новообретенным другом и давними соратниками"
"chapter_Shelter of the scum_event_11_title","Ты не сможешь обмануть нас, сын господина. Мы знаем, кто ты, и мы знаем, что твой род думает о нас"
"chapter_Shelter of the scum_event_12_title","Да? Ты правда хочешь, чтобы я в это поверил?"
"chapter_Shelter of the scum_event_13_title","Неожиданно для вас в разговор встревает Хьюго, он отвечает до того, как старший успевает что-то сказать"
"chapter_Shelter of the scum_event_14_title","Он даже не знал, кто я! Он просто помог!"
"chapter_Shelter of the scum_event_15_title","Он дал отпор, потому что на него напали, Хьюго. Это не делает его героем"
"chapter_Shelter of the scum_event_16_title","Ты этого не видел, Гаррет! Когда те люди спрашивали обо мне, он мог бы указать прямо на меня. Но он этого не сделал!"
"chapter_Shelter of the scum_event_17_title","Может быть, у него были свои причины"
"chapter_Shelter of the scum_event_18_title","А может он не такой, как все они. Может быть, он другой!"
"chapter_Shelter of the scum_event_19_title","Старший вздыхает, он переводит взгляд на вас"
"chapter_Shelter of the scum_event_20_title","Может быть, Хьюго. Может быть"
"chapter_Shelter of the scum_event_21_title","Что ж, юный господин, похоже, сегодня ты снискал здесь расположение"
"chapter_Shelter of the scum_event_22_title","Мы не забываем о своих долгах. Если тебе понадобится помощь, ты можешь рассчитывать на нас"